slot,gen_kwh,demand_kwh
0,3408.92027002621,17190149.09124082
1,3018.6468670037475,16114678.054900808
2,2665.974237288805,17743657.30152387
3,2132.528896150014,17785391.360618193
4,1542.1400926743008,18126643.268486705
5,1006.4179722629125,18569940.028930828
6,692.4320909223171,19146688.70729314
7,517.068014941709,19638777.4669541
8,766.5010717421104,19879796.922467124
9,27756.48400892685,19825785.55182943
10,199389.50388648373,18846688.3917212
11,654053.331243342,17523893.483462945
12,1571477.2726591423,16169976.925922245
13,3053249.0719927386,15853403.852111282
14,5156328.796379632,15093737.607043663
15,7792322.495332855,15947873.008408606
16,10658493.982022218,17017290.784427192
17,13340372.96341691,17953002.28084151
18,15630121.083868418,18532216.874875497
19,17461471.44456769,18603039.092724424
20,18750340.232090447,18304048.698480345
21,19615159.621432588,17917784.423241083
22,20039281.025583975,17717496.022417497
23,20093517.03971342,17632416.18939362
24,19737632.246485513,17607870.566463504
25,19071185.522493053,17140085.699587785
26,18034931.148534816,16739062.828187374
27,16515741.498630209,16214882.837932998
28,14545872.935277477,15476095.417886984
29,12148071.968146764,14577365.473714761
30,9457432.972643878,13535040.62270619
31,6741443.939883115,12558394.619448343
32,4261807.326412198,11956574.149129411
33,2401868.0403632266,11915073.645486321
34,1180516.758481006,12651362.020409716
35,473273.7744082052,13557251.72050573
36,135895.4426870895,14500607.438045053
37,19137.18417792386,15227012.332644861
38,4879.849174943012,15609909.459562408
39,4646.31040811123,15741692.947139569
40,4490.042364362512,15920092.534728339
41,4359.330020309436,16098364.474092364
42,4333.064497163173,16194764.642788239
43,4245.4698167886545,15999130.505671572
44,4173.006160626007,15687378.65116476
45,4011.0561034834723,15252714.624970593
46,3799.5061049921887,17832768.279743224
47,3692.897611318285,17770658.295080807
