deployment,category_3,n,mean_pp,p10_pp,p25_pp,median_pp,p75_pp,p90_pp
10,metropolitan_core,5358,0.03509157513846532,1.4725992266220733e-06,0.0002527459924072349,0.001628491097789217,0.014638842479328291,0.07174577977411158
10,regional_city,13653,0.2007065853428981,0.003159844244951214,0.014691271359242378,0.0585604896914161,0.18760525700933367,0.514632772181803
10,rural,1822,0.2535111420225849,0.002625060105181411,0.022320455016267914,0.09095141779755042,0.27798815771868074,0.6832829133501956
15,metropolitan_core,5358,0.08657312546207134,0.00033115539751014944,0.002486010872964489,0.010484702126286292,0.04518038129046825,0.19534346175568265
15,regional_city,13653,0.4538113783879704,0.01717521703779243,0.05627228467501759,0.16561834320991398,0.47650768569552776,1.1801066156808362
15,rural,1822,0.5743224076453857,0.01807586105797502,0.07966203974049493,0.2582899055977048,0.7205283292812137,1.4951332731747378
20,metropolitan_core,5358,0.16050904428895665,0.0018744333332171986,0.00857003339103466,0.031241029923153793,0.09968915450263865,0.3806531683685706
20,regional_city,13653,0.7623331239429103,0.04515462483091537,0.1258370383080687,0.329067381669651,0.860433166622522,1.9742955889823375
20,rural,1822,0.9611806604549207,0.05306947447022134,0.17713925280546314,0.4890758038755352,1.2591822751303636,2.3856788888687985
30,metropolitan_core,5358,0.3633170043566458,0.016444936246549222,0.0424562962766788,0.1233646240328394,0.3115026913138695,0.8741581924828498
30,regional_city,13653,1.4089158905655905,0.134454832727392,0.3266805768689138,0.7283916943276625,1.6960708667932256,3.5836164128003474
30,rural,1822,1.7963286940363363,0.14131046789072566,0.4620988575367254,1.0785705153222356,2.444132718628369,4.406724701290874
40,metropolitan_core,5358,0.6079443115438934,0.056207475991844204,0.12314326717198856,0.2761221404593568,0.6155646939156976,1.413362200025929
40,regional_city,13653,1.9532557069341479,0.2164319919243013,0.499012362559334,1.0746854137135635,2.4029347314849736,5.01277993971916
40,rural,1822,2.5492759853478413,0.21821771390740877,0.7022858296424305,1.5841425790799113,3.545474620747669,6.29487404779636
50,metropolitan_core,5358,0.8478923735089429,0.10359973567723585,0.21342543175601192,0.4440703693471118,0.91142015990942,1.836847818027016
50,regional_city,13653,2.335187802259459,0.23820721967572347,0.5787670314316595,1.2841097925395033,2.866992986990588,6.066213435821803
50,rural,1822,3.1270846844356552,0.25637680653737255,0.8166408161655252,1.9385876602545329,4.436945051029833,7.801229513022379
100,metropolitan_core,5358,1.3465227824171055,0.11239044274557075,0.2815934643923351,0.6998072147230666,1.5907559121911157,3.166319144120625
100,regional_city,13653,2.735841317988834,0.20088925722188455,0.4886921355534757,1.2035323059413738,3.1908298545342495,7.696073587138112
100,rural,1822,4.041136137445679,0.2365727231720749,0.7560978361040221,2.149366268591077,5.811604693506621,11.064349479951618
