family,urban_form_scenario,configuration,metric,delta_pp
S1,S1m,morphology_only,cssr_mesh_mean,0.3837845094152081
S1,S1m,morphology_only,cssr_system,-0.5486423654017775
S1,S1m,morphology_only,cpi_mesh_mean,0.088742590806078
S1,S1m,morphology_only,cpi_system,-0.0125330566550405
S1,S1,morphology_plus_pv,cssr_mesh_mean,0.5160272887027806
S1,S1,morphology_plus_pv,cssr_system,-0.2475330891890448
S1,S1,morphology_plus_pv,cpi_mesh_mean,0.0986443252470683
S1,S1,morphology_plus_pv,cpi_system,-0.0034672012036909
S2,S2m,morphology_only,cssr_mesh_mean,0.5497978138186671
S2,S2m,morphology_only,cssr_system,0.750922706236977
S2,S2m,morphology_only,cpi_mesh_mean,0.2719407824240261
S2,S2m,morphology_only,cpi_system,0.2631257323945888
S2,S2,morphology_plus_pv,cssr_mesh_mean,3.252762974797601
S2,S2,morphology_plus_pv,cssr_system,3.977611219952876
S2,S2,morphology_plus_pv,cpi_mesh_mean,0.7162351587119814
S2,S2,morphology_plus_pv,cpi_system,0.6325176173624716
S3,S3m,morphology_only,cssr_mesh_mean,0.0724750821658237
S3,S3m,morphology_only,cssr_system,0.1940065214526096
S3,S3m,morphology_only,cpi_mesh_mean,0.0433889369108764
S3,S3m,morphology_only,cpi_system,0.0849881650196133
S3,S3,morphology_plus_pv,cssr_mesh_mean,1.662813971288063
S3,S3,morphology_plus_pv,cssr_system,1.5879050045448817
S3,S3,morphology_plus_pv,cpi_mesh_mean,0.3702596520109925
S3,S3,morphology_plus_pv,cpi_system,0.3213410073905569
