family,urban_form_scenario,configuration,outcome_class,mesh_count,share_pct
S1,S1m,morphology_only,joint_increase,11604,55.70009120145922
S1,S1m,morphology_only,autonomy_led,7424,35.63577017232276
S1,S1m,morphology_only,sharing_led,275,1.3200211203379255
S1,S1m,morphology_only,joint_decrease,1244,5.971295540728652
S1,S1m,morphology_only,mixed_or_near_zero,286,1.3728219651514424
S1,S1,morphology_plus_pv,joint_increase,11909,57.16411462583401
S1,S1,morphology_plus_pv,autonomy_led,7185,34.488551816829066
S1,S1,morphology_plus_pv,sharing_led,280,1.3440215043440695
S1,S1,morphology_plus_pv,joint_decrease,1139,5.467287476599625
S1,S1,morphology_plus_pv,mixed_or_near_zero,320,1.5360245763932223
S2,S2m,morphology_only,joint_increase,8882,42.63428214851437
S2,S2m,morphology_only,autonomy_led,2191,10.516968271492344
S2,S2m,morphology_only,sharing_led,6890,33.072529160466566
S2,S2m,morphology_only,joint_decrease,2199,10.555368885902174
S2,S2m,morphology_only,mixed_or_near_zero,671,3.220851533624538
S2,S2,morphology_plus_pv,joint_increase,17476,83.88614217827485
S2,S2,morphology_plus_pv,autonomy_led,2516,12.076993231891711
S2,S2,morphology_plus_pv,sharing_led,831,3.988863821821149
S2,S2,morphology_plus_pv,joint_decrease,5,0.0240003840061441
S2,S2,morphology_plus_pv,mixed_or_near_zero,5,0.0240003840061441
S3,S3m,morphology_only,joint_increase,3189,15.307444919118707
S3,S3m,morphology_only,autonomy_led,174,0.8352133634138146
S3,S3m,morphology_only,sharing_led,3694,17.73148370373926
S3,S3m,morphology_only,joint_decrease,8302,39.85023760380166
S3,S3m,morphology_only,mixed_or_near_zero,5474,26.27562040992656
S3,S3,morphology_plus_pv,joint_increase,15883,76.23961983391735
S3,S3,morphology_plus_pv,autonomy_led,3371,16.18105889694235
S3,S3,morphology_plus_pv,sharing_led,1105,5.304084865357845
S3,S3,morphology_plus_pv,joint_decrease,179,0.8592137474199587
S3,S3,morphology_plus_pv,mixed_or_near_zero,295,1.4160226563625018
