family,urban_form_scenario,configuration,category_3,metric,delta_pp
S1,S1,morphology_plus_pv,metropolitan_core,collective_ssr,-0.6126330583442641
S1,S1,morphology_plus_pv,metropolitan_core,sharing_contribution,-0.0428596101837744
S1,S1,morphology_plus_pv,regional_city,collective_ssr,0.9141406856011476
S1,S1,morphology_plus_pv,regional_city,sharing_contribution,0.140524583500246
S1,S1,morphology_plus_pv,rural,collective_ssr,0.8518779646767616
S1,S1,morphology_plus_pv,rural,sharing_contribution,0.2009423055477389
S1,S1m,morphology_only,metropolitan_core,collective_ssr,-1.1127194230462822
S1,S1m,morphology_only,metropolitan_core,sharing_contribution,-0.0672589671797832
S1,S1m,morphology_only,regional_city,collective_ssr,0.9092024303727936
S1,S1m,morphology_only,regional_city,sharing_contribution,0.1355863282718939
S1,S1m,morphology_only,rural,collective_ssr,0.8474163399831092
S1,S1m,morphology_only,rural,sharing_contribution,0.1964806808540841
S2,S2,morphology_plus_pv,metropolitan_core,collective_ssr,4.647248845169994
S2,S2,morphology_plus_pv,metropolitan_core,sharing_contribution,0.6264723766854211
S2,S2,morphology_plus_pv,regional_city,collective_ssr,2.8739617985288817
S2,S2,morphology_plus_pv,regional_city,sharing_contribution,0.7675406322262284
S2,S2,morphology_plus_pv,rural,collective_ssr,1.9904782141727333
S2,S2,morphology_plus_pv,rural,sharing_contribution,0.5957496242489094
S2,S2m,morphology_only,metropolitan_core,collective_ssr,1.325367265548974
S2,S2m,morphology_only,metropolitan_core,sharing_contribution,0.2792234788189466
S2,S2m,morphology_only,regional_city,collective_ssr,0.30986750591174
S2,S2m,morphology_only,regional_city,sharing_contribution,0.2909657673585442
S2,S2m,morphology_only,rural,collective_ssr,0.0669588299999551
S2,S2m,morphology_only,rural,sharing_contribution,0.1079622936232749
S3,S3,morphology_plus_pv,metropolitan_core,collective_ssr,1.5841822555000094
S3,S3,morphology_plus_pv,metropolitan_core,sharing_contribution,0.5354967187915931
S3,S3,morphology_plus_pv,regional_city,collective_ssr,1.8837772763204363
S3,S3,morphology_plus_pv,regional_city,sharing_contribution,0.3083496998754464
S3,S3,morphology_plus_pv,rural,collective_ssr,0.23827869663679
S3,S3,morphology_plus_pv,rural,sharing_contribution,0.3482598565643157
S3,S3m,morphology_only,metropolitan_core,collective_ssr,0.6771407094112697
S3,S3m,morphology_only,metropolitan_core,sharing_contribution,0.1944853613082731
S3,S3m,morphology_only,regional_city,collective_ssr,-0.1367374864536391
S3,S3m,morphology_only,regional_city,sharing_contribution,-0.0063829843184572
S3,S3m,morphology_only,rural,collective_ssr,-0.1379635739371526
S3,S3m,morphology_only,rural,sharing_contribution,-0.0279824140096272
