stratum,month,day,slot
winter_wd_h06-07,2,16,13
winter_wd_h08-09,2,14,16
winter_wd_h10-11,2,2,21
winter_wd_h12-13,1,15,25
winter_wd_h14-15,2,9,28
winter_wd_h16-17,1,23,32
winter_we_h06-07,2,18,13
winter_we_h08-09,2,4,17
winter_we_h10-11,2,18,21
winter_we_h12-13,1,7,24
winter_we_h14-15,12,28,28
winter_we_h16-17,12,22,32
spring_wd_h04-05,5,15,9
spring_wd_h06-07,4,3,13
spring_wd_h08-09,5,29,17
spring_wd_h10-11,5,27,21
spring_wd_h12-13,5,2,25
spring_wd_h14-15,5,17,29
spring_wd_h16-17,3,27,32
spring_wd_h18-19,5,22,36
spring_we_h04-05,5,19,9
spring_we_h06-07,5,4,13
spring_we_h08-09,3,9,16
spring_we_h10-11,5,4,20
spring_we_h12-13,5,25,24
spring_we_h14-15,3,23,28
spring_we_h16-17,4,13,32
spring_we_h18-19,5,25,36
spring_we_h20-21,4,20,41
summer_wd_h04-05,6,4,9
summer_wd_h06-07,7,15,12
summer_wd_h08-09,8,20,16
summer_wd_h10-11,7,23,21
summer_wd_h12-13,7,5,24
summer_wd_h14-15,8,26,28
summer_wd_h16-17,6,21,32
summer_wd_h18-19,6,11,36
summer_we_h04-05,6,30,9
summer_we_h06-07,7,6,12
summer_we_h08-09,8,18,17
summer_we_h10-11,8,10,20
summer_we_h12-13,8,31,25
summer_we_h14-15,7,27,28
summer_we_h16-17,6,2,33
summer_we_h18-19,6,8,37
autumn_wd_h06-07,9,30,13
autumn_wd_h08-09,11,22,16
autumn_wd_h10-11,9,16,21
autumn_wd_h12-13,10,23,24
autumn_wd_h14-15,9,19,29
autumn_wd_h16-17,10,11,33
autumn_we_h06-07,9,14,13
autumn_we_h08-09,10,26,17
autumn_we_h10-11,11,2,21
autumn_we_h12-13,11,30,25
autumn_we_h14-15,11,2,28
autumn_we_h16-17,10,5,32
